line_id,marker,date_time,description
43,ERROR,2017-11-10 11:29:47,openerp.http: Exception during JSON request handling.
194,ERROR,2017-11-10 11:33:37,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60309)"
204,ERROR,2017-11-10 11:33:37,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60414)"
215,ERROR,2017-11-10 11:33:37,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60415)"
442,ERROR,2017-11-10 12:07:44,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 54278)"
473,ERROR,2017-11-10 12:14:41,werkzeug: Error on request:
539,ERROR,2017-11-10 12:15:42,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 56626)"
549,ERROR,2017-11-10 12:15:54,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 56721)"
620,ERROR,2017-11-10 12:16:55,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 57052)"
630,ERROR,2017-11-10 12:17:28,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 57252)"
653,ERROR,2017-11-10 12:17:59,werkzeug: Error on request:
690,ERROR,2017-11-10 12:19:03,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 57778)"
758,ERROR,2017-11-10 12:24:00,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 59336)"
826,ERROR,2017-11-10 12:27:53,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60481)"
882,ERROR,2017-11-10 12:28:44,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60740)"
892,ERROR,2017-11-10 12:28:51,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60810)"
1100,ERROR,2017-11-10 15:27:46,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 61475)"
1124,ERROR,2017-11-10 15:28:50,werkzeug: Error on request:
1168,ERROR,2017-11-10 15:30:41,werkzeug: Error on request:
1304,ERROR,2017-11-10 15:37:03,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 64824)"
1314,ERROR,2017-11-10 15:37:06,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 64884)"
1434,ERROR,2017-11-10 15:47:21,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 52710)"
1496,ERROR,2017-11-10 16:03:49,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 58741)"
1559,ERROR,2017-11-10 17:00:57,openerp.sql_db: Connection to the database failed
1565,CRITICAL,2017-11-10 17:00:57,openerp.service.server: Failed to initialize database `pg`.
