time,id,by,score,url,type,title,text
1511873573,15796747,edawerd,1,https://gusto.com/about/careers,job,Gusto Is Hiring Senior Rails/React Engineers,
1511857229,15795344,Harj,1,,job,Triplebyte (YC S15) Is Hiring a Technical Manager,"Triplebyte evaluates the technical skills of engineers and uses the data to match them with companies.<p>We’ve built and trained a team of engineers to be Triplebyte Technical Interviewers. We train them on our technical interviewing practices and software for one week in our office and then they work remotely doing technical interviews.<p>We’re growing this interviewing team and we’re looking for an engineer to be the lead for this. The role involves:<p>* Screening applicants who want to be a Triplebyte Technical Interviewer.
* Building software (we’ve built all of our own custom software for running technical interviews and training interviewers).
* Managing the Technical Interviewers once they’re active (doing 1on1’s, reviewing their performance, etc).
* Internal product&#x2F;project management. You’ll have autonomy to set your own priorities for scaling the team and will be responsible for making it happen.<p>It’s a great generalist role for an engineer who wants to do more than just coding (you do need to have good, broad knowledge across technical areas e.g. CS, back-end web, etc). You also learn a lot about hiring as you’ll get a birds eye perspective of how companies do good and bad jobs of it.<p>It’s the ideal role for someone that has previously founded a company or wants to in the future. You&#x27;ll build a really useful set of practical skills doing this. You’ll also be working directly with our founding team who are all experienced founders (Harj previously cofounded Auctomatic and was the first YC partner brought on by the founders, Ammon and Guillaume founded and sold Socialcam for $60m to Autodesk).<p>Here’s a formal job description and link to apply: <a href=""https:&#x2F;&#x2F;jobs.lever.co&#x2F;triplebyte&#x2F;58480a6d-8eae-4e64-92f0-7d240e3b7d1d"" rel=""nofollow"">https:&#x2F;&#x2F;jobs.lever.co&#x2F;triplebyte&#x2F;58480a6d-8eae-4e64-92f0-7d2...</a>"
1511842547,15794340,brentlarue,1,https://jobs.lever.co/circlemedical/05f62b3f-009a-428f-8209-538864e68d94,job,Circle Medical (YC S15) Is Hiring a Sr. Product Designer,
1511827312,15792986,justin,1,,job,Atrium Is hiring to disrupt the legal industry,"Atrium (Co-founded by Justin Kan - Justin.TV, Twitch, Socialcam, etc.) is a data-driven law firm designed to make access to corporate legal services transparent and price-predictable for everyone. We&#x27;re doing this by building the first structured data platform for organizational data. We use modern techniques for extracting data that is locked away in legal documents, modeling how best to store this information, and inventing new ways for lawyers and paralegals to interact with the resulting structured data to help advise clients.<p>Open Positions:<p>Machine Learning Engineer: <a href=""https:&#x2F;&#x2F;jobs.lever.co&#x2F;atrium&#x2F;ae5d6e6a-0110-4bec-98bc-cbfbd94c4cad"" rel=""nofollow"">https:&#x2F;&#x2F;jobs.lever.co&#x2F;atrium&#x2F;ae5d6e6a-0110-4bec-98bc-cbfbd94...</a><p>Engineering Manager:
<a href=""https:&#x2F;&#x2F;jobs.lever.co&#x2F;atrium&#x2F;3ebf60da-3c62-4ba2-a1a2-135a5c56b32d"" rel=""nofollow"">https:&#x2F;&#x2F;jobs.lever.co&#x2F;atrium&#x2F;3ebf60da-3c62-4ba2-a1a2-135a5c5...</a><p>Software Engineer (mid-level): 
<a href=""https:&#x2F;&#x2F;jobs.lever.co&#x2F;atrium&#x2F;fb857e0a-8818-4feb-82bc-f97d78259e0b"" rel=""nofollow"">https:&#x2F;&#x2F;jobs.lever.co&#x2F;atrium&#x2F;fb857e0a-8818-4feb-82bc-f97d782...</a><p>Senior Software Engineer (full-stack): 
<a href=""https:&#x2F;&#x2F;jobs.lever.co&#x2F;atrium&#x2F;3c36a7b4-2e36-4ddd-84a1-c886fce7458d"" rel=""nofollow"">https:&#x2F;&#x2F;jobs.lever.co&#x2F;atrium&#x2F;3c36a7b4-2e36-4ddd-84a1-c886fce...</a><p>For all jobs: <a href=""https:&#x2F;&#x2F;www.atrium.co&#x2F;careers&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;www.atrium.co&#x2F;careers&#x2F;</a>"
1511763039,15785237,joshbuckley,1,https://mino-games.workable.com/jobs/415887,job,Mino Games Is Hiring Haxe Programmers in Montreal,
1511594117,15774847,tyoung,1,https://jobs.lever.co/plangrid,job,"PlanGrid (YC W12) Is Hiring Infrastructure, Front End, Android Engineers and More",
1511581695,15774344,KMinshew,1,https://www.themuse.com/jobs/themuse/junior-cloud-engineer-272df7,job,The Muse is hiring a junior cloud engineer,
1511555463,15772857,dfguo,1,http://www.strikingly.com/s/careers?utm_source=hn&utm_content=dnk,job,"Strikingly (YC W13) Is Hiring DevOps, Node.js, Kotlin Devs in Shanghai",
1511541613,15771679,nimz,1,https://www.workable.com/j/5A3033ABFF,job,Fullstack Academy (YC S12) is hiring devs in New York who love teaching,
1511510308,15770005,rvivek,1,,job,HackerRank is hiring a lead designer in Bangalore,"HackerRank is hiring a lead product designer in India<p>Our mission is to match every developer to the right job. We are mapping every job and every developer to a common skill rubric and matching them based on skills. We have quickly grown to mapping 3m+ developers &amp; 1200+ customers
across industries. Some of them include VMware, Salesforce, Twitter, Uber, Goldman Sachs, Capital One, GE, etc.<p>We have product&#x2F;design teams in Palo Alto &amp; Bangalore and 
looking for a strong product designer who will take conceptual ideas and turn them into a real product that is useful and valuable to our customers &amp; community.<p>You will oversee the user experience of a product from conception until its full adoption. You will partner with our director of design, project managers, engineers, and other designers. Our head of design has designed multiple products, one of which was nominated for the best design award by Apple.<p>If you are interested, please email your portfolio with a more in-depth look at your projects&#x2F;process to musho @ hackerrank.com &amp; we will get this started"
1511475504,15768179,thedogeye,1,https://www.flexport.com/careers/department/engineering,job,Flexport is hiring engineers to break down barriers to global trade,
1511436440,15764385,jon_dahl,1,,job,Join the Mux Team as Head of Developer Marketing,"Mux is building video streaming infrastructure as a suite of APIs. See <a href=""https:&#x2F;&#x2F;mux.com"" rel=""nofollow"">https:&#x2F;&#x2F;mux.com</a> and <a href=""https:&#x2F;&#x2F;mux.com&#x2F;video"" rel=""nofollow"">https:&#x2F;&#x2F;mux.com&#x2F;video</a> for our first two products.<p>We&#x27;ve done it before - our co-founders previously founded Zencoder (acquired 2012 for $30M), created Video.js, and started the Demuxed conference for video engineers.<p>We&#x27;re looking for someone to lead up our marketing efforts to developers. Our ideal candidate would have some mix of both development + marketing in their background, and would be excited about some mix of writing, speaking, building side projects, growth hacking, and traditional marketing.<p>More details at <a href=""https:&#x2F;&#x2F;mux.workable.com&#x2F;j&#x2F;F54837DA1F"" rel=""nofollow"">https:&#x2F;&#x2F;mux.workable.com&#x2F;j&#x2F;F54837DA1F</a>.<p>See <a href=""https:&#x2F;&#x2F;mux.workable.com&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;mux.workable.com&#x2F;</a> for other open positions (mostly engineering at this point)."
1511421758,15763447,rogik,1,https://peopleai.workable.com/j/517731C0AC,job,People.ai (YC S16) Hiring Senior Engineers for Sales and Marketing AI Platform,
1511387129,15760971,aglazer,1,https://jobs.lever.co/taplytics?lever-origin=applied&lever-source%5B%5D=Hacker%20News,job,Taplytics is hiring,
